accept.mu,screed.alpha,speed,shoes
8.176666666666666,C,100,bare
8.066666666666666,C,80,bare
9.403333333333334,C,100,shoe
8.423333333333334,C,80,shoe
7.293333333333333,H,100,bare
7.96,H,80,bare
9.28,H,100,shoe
9.653333333333332,H,80,shoe
5.816666666666666,I,100,bare
7.013333333333334,I,80,bare
8.7,I,100,shoe
9.316666666666666,I,80,shoe
0.6533333333333333,A,100,bare
0.5333333333333333,A,80,bare
0.39666666666666667,A,100,shoe
0.53,A,80,shoe
0.42666666666666664,C,100,bare
0.5733333333333334,C,80,bare
0.4433333333333333,C,100,shoe
0.31,C,80,shoe
0.3066666666666667,H,100,bare
0.6633333333333333,H,80,bare
0.5066666666666667,H,100,shoe
0.58,H,80,shoe
0.42333333333333334,I,100,bare
0.4866666666666667,I,80,bare
0.45666666666666667,I,100,shoe
0.4666666666666667,I,80,shoe
9.802518102195062,A,100,bare
9.802518102195062,A,80,bare
9.802518102195062,A,100,shoe
9.802518102195062,A,80,shoe
9.802518102195062,C,100,bare
9.802518102195062,C,80,bare
9.802518102195062,C,100,shoe
9.802518102195062,C,80,shoe
9.802518102195062,H,100,bare
9.802518102195062,H,80,bare
9.802518102195062,H,100,shoe
9.802518102195062,H,80,shoe
9.802518102195062,I,100,bare
9.802518102195062,I,80,bare
9.802518102195062,I,100,shoe
9.802518102195062,I,80,shoe
4.846666666666667,A,100,bare
8.1466666666666665,A,80,bare
8.873333333333333,A,100,shoe
9.05,A,80,shoe
5.906666666666666,C,100,bare
5.966666666666667,C,80,bare
7.246666666666667,C,100,shoe
7.68,C,80,shoe
4.523333333333333,H,100,bare
6.99,H,80,bare
7.723333333333334,H,100,shoe
6.043333333333333,H,80,shoe
2.443333333333334,I,100,bare
3.9566666666666666,I,80,bare
6.52,I,100,shoe
7.11,I,80,shoe
5.253333333333334,A,100,bare
7.513333333333334,A,80,bare
7.813333333333333,A,100,shoe
6.236666666666666,A,80,shoe
7.363333333333333,C,100,bare
7.536666666666667,C,80,bare
8.076666666666666,C,100,shoe
7.63,C,80,shoe
6.82,H,100,bare
7.02,H,80,bare
7.58,H,100,shoe
7.86,H,80,shoe
6.36,I,100,bare
6.336666666666667,I,80,bare
4.913333333333333,I,100,shoe
6.416666666666667,I,80,shoe
6.306666666666667,A,100,bare
7.813333333333333,A,80,bare
7.96,A,100,shoe
9.266666666666666,A,80,shoe
4.79,C,100,bare
3.67,C,80,bare
5.916666666666666,C,100,shoe
5.926666666666666,C,80,shoe
3.89,H,100,bare
4.026666666666666,H,80,bare
6.65,H,100,shoe
7.486666666666666,H,80,shoe
1.5366666666666666,I,100,bare
4.446666666666666,I,80,bare
6.376666666666667,I,100,shoe
9.433333333333334,I,80,shoe
1.12,A,100,bare
3.88,A,80,bare
4.78,A,100,shoe
4.319999999999999,A,80,shoe
0.38,C,100,bare
1.346666666666667,C,80,bare
2.763333333333333,C,100,shoe
4.086666666666667,C,80,shoe
2.716666666666667,H,100,bare
1.143333333333333,H,80,bare
4.683333333333334,H,100,shoe
3.9,H,80,shoe
0.24,I,100,bare
0.32666666666666666,I,80,bare
0.38,I,100,shoe
0.29000000000000004,I,80,shoe
6.17,A,100,bare
7.963333333333334,A,80,bare
9.606666666666666,A,100,shoe
9.673333333333334,A,80,shoe
8.676666666666666,C,100,bare
7.526666666666667,C,80,bare
9.193333333333332,C,100,shoe
