SpecimenID,Species,Treatment,Number,StartDate,EndDate,Duration,Inoculant,InitialDryWeight,PostInoculationWeight,PostInnocDryWeight,PostExtractionWeight,ImpregnatedOilWeight,Retention.kg.m3,WoodWeight,RemainingOilWeight.g,EndWeightMinusWoodWeight,OilRemainingPerc,MCPostInoculation,RelativeMassLoss,OilExtract.g,OilExtract_rel,OilContent ,PetriDish
P-GM-MB-9,P,GM,169,28/07/2016,17/11/2016,16,pm,1.0838,1.8139,0.9781,0.6947,0.45,300,0.6338,0.3443,0.0609,0.77,0.85,0.1,0.28,0.29,0,plo kont1
P-kontrola,P,,401,13/07/2016,02/11/2016,16,pm,0.8883,1.247,0.7272,0,0,0,0.8883,0,-0.1611,0,0.71,0.18,0.73,1,0,plo kont1
P-kontrola,P,,402,13/07/2016,02/11/2016,16,pm,0.8878,1.0582,0.7265,0,0,0,0.8878,0,-0.1613,0,0.46,0.18,0.73,1,0,plo10
P-kontrola,P,,403,13/07/2016,02/11/2016,16,pm,0.9387,1.1913,0.7902,0,0,0,0.9387,0,-0.1485,0,0.51,0.16,0.79,1,0,tv9
P-kontrola,P,,404,13/07/2016,02/11/2016,16,gt,0.8708,1.8302,0.8165,0,0,0,0.8708,0,-0.0543,0,1.24,0.06,0.82,1,0,tv10
P-kontrola,P,,405,13/07/2016,02/11/2016,16,gt,0.8434,1.9863,0.8368,0,0,0,0.8434,0,-0.0066,0,1.37,0.01,0.84,1,0,tv11
P-kontrola,P,,406,13/07/2016,02/11/2016,16,gt,0.8816,1.8381,0.8025,0,0,0,0.8816,0,-0.0791,0,1.29,0.09,0.8,1,0,tv12
P-kontrola,P,,407,13/07/2016,02/11/2016,16,gt,0.8165,0.7101,0.2483,0,0,0,0.8165,0,-0.5682,0,1.86,0.7,0.25,1,0,plo11
P-kontrola,P,,408,13/07/2016,02/11/2016,16,gt,0.9084,2.0782,0.9005,0,0,0,0.9084,0,-0.0079,0,1.31,0.01,0.9,1,0,plo12
P-kontrola,P,,409,28/07/2016,17/11/2016,16,pm,0.887,1.1561,0.7392,0,0,0,0.887,0,-0.1478,0,0.56,0.17,0.74,1,0,plo13
P-kontrola,P,,410,28/07/2016,17/11/2016,16,pm,0.8542,1.1397,0.7538,0,0,0,0.8542,0,-0.1004,0,0.51,0.12,0.75,1,0,plo14
P-kontrola,P,,411,28/07/2016,17/11/2016,16,pm,0.8444,1.7774,0.7806,0,0,0,0.8444,0,-0.0638,0,1.28,0.08,0.78,1,0,plo15
P-kontrola,P,,412,28/07/2016,17/11/2016,16,pm,0.8714,0.9184,0.6245,0,0,0,0.8714,0,-0.2469,0,0.47,0.28,0.62,1,0,plo16
P-kontrola,P,,413,28/07/2016,17/11/2016,16,pm,0.8735,1.1692,0.7223,0,0,0,0.8735,0,-0.1512,0,0.62,0.17,0.72,1,0,plo17
P-kontrola,P,,414,28/07/2016,17/11/2016,16,pm,0.7858,0.9442,0.6457,0,0,0,0.7858,0,-0.1401,0,0.46,0.18,0.65,1,0,plo18
P-kontrola,P,,415,28/07/2016,17/11/2016,16,pm,0.88,1.8952,0.8493,0,0,0,0.88,0,-0.0307,0,1.23,0.03,0.85,1,0,plo19
P-kontrola,P,,416,28/07/2016,17/11/2016,16,pm,0.8621,1.8536,0.7949,0,0,0,0.8621,0,-0.0672,0,1.33,0.08,0.79,1,0,plo20
P-kontrola,P,,417,28/07/2016,17/11/2016,16,pm,0.8817,0.8258,0.553,0,0,0,0.8817,0,-0.3287,0,0.49,0.37,0.55,1,0,plo kont3
P-kontrola,P,,418,28/07/2016,17/11/2016,16,pm,0.8008,0.8651,0.5471,0,0,0,0.8008,0,-0.2537,0,0.58,0.32,0.55,1,0,plo kont3
P-kontrola,P,,419,28/07/2016,17/11/2016,16,pm,0.9253,0.9403,0.6099,0,0,0,0.9253,0,-0.3154,0,0.54,0.34,0.61,1,0,plo kont3
P-kontrola,P,,420,28/07/2016,17/11/2016,16,pm,0.9383,1.2463,0.765,0,0,0,0.9383,0,-0.1733,0,0.63,0.18,0.77,1,0,plo kont3
P-kontrola,P,,421,28/07/2016,17/11/2016,16,pm,0.8606,1.9769,0.8242,0,0,0,0.8606,0,-0.0364,0,1.4,0.04,0.82,1,0,plo kont4
P-kontrola,P,,422,28/07/2016,17/11/2016,16,pm,0.8182,0.9886,0.6219,0,0,0,0.8182,0,-0.1963,0,0.59,0.24,0.62,1,0,plo kont4
P-kontrola,P,,423,28/07/2016,17/11/2016,16,pm,0.8151,0.9959,0.6179,0,0,0,0.8151,0,-0.1972,0,0.61,0.24,0.62,1,0,plo kont4
P-kontrola,P,,424,28/07/2016,17/11/2016,16,gt,0.7825,0.7824,0.2439,0,0,0,0.7825,0,-0.5386,0,2.21,0.69,0.24,1,0,plo kont4
P-kontrola,P,,425,28/07/2016,17/11/2016,16,gt,0.8833,1.1325,0.5032,0,0,0,0.8833,0,-0.3801,0,1.25,0.43,0.5,1,0,tv13
P-kontrola,P,,426,28/07/2016,17/11/2016,16,gt,0.8864,1.9362,0.8426,0,0,0,0.8864,0,-0.0438,0,1.3,0.05,0.84,1,0,tv14
