Value,Dimension,Panel
1,boring-interesting,singlebrown
2,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
0,boring-interesting,singlebrown
0,boring-interesting,singlebrown
1,boring-interesting,singlebrown
1,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
-2,boring-interesting,singlebrown
1,boring-interesting,singlebrown
-1,boring-interesting,singlebrown
-2,boring-interesting,osb
-2,boring-interesting,osb
-2,boring-interesting,osb
-1,boring-interesting,osb
-1,boring-interesting,osb
2,boring-interesting,osb
-1,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
-2,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
-2,boring-interesting,osb
-1,boring-interesting,osb
-2,boring-interesting,osb
-1,boring-interesting,osb
-1,boring-interesting,osb
-2,boring-interesting,osb
1,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
1,boring-interesting,osb
-1,boring-interesting,osb
-1,boring-interesting,osb
1,boring-interesting,osb
0,boring-interesting,osb
1,boring-interesting,osb
-2,boring-interesting,osb
0,boring-interesting,osb
-2,boring-interesting,osb
0,boring-interesting,osb
2,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
-2,boring-interesting,osb
-1,boring-interesting,osb
1,boring-interesting,osb
0,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
-1,boring-interesting,osb
1,boring-interesting,osb
-1,boring-interesting,osb
-2,boring-interesting,osb
-1,boring-interesting,osb
-1,boring-interesting,osb
-2,boring-interesting,osb
1,boring-interesting,osb
1,boring-interesting,osb
2,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
-1,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
0,boring-interesting,osb
1,boring-interesting,osb
-2,boring-interesting,osb
-2,boring-interesting,osb
-1,boring-interesting,osb
-2,boring-interesting,osb
1,boring-interesting,osb
1,boring-interesting,osb
-1,boring-interesting,osb
-2,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
-2,boring-interesting,osb
-2,boring-interesting,osb
-1,boring-interesting,osb
0,boring-interesting,osb
-2,boring-interesting,osb
1,boring-interesting,clt
-2,boring-interesting,clt
2,boring-interesting,clt
1,boring-interesting,clt
2,boring-interesting,clt
1,boring-interesting,clt
-2,boring-interesting,clt
1,boring-interesting,clt
-1,boring-interesting,clt
0,boring-interesting,clt
-2,boring-interesting,clt
1,boring-interesting,clt
0,boring-interesting,clt
1,boring-interesting,clt
0,boring-interesting,clt
-2,boring-interesting,clt
0,boring-interesting,clt
-2,boring-interesting,clt
-2,boring-interesting,clt
-1,boring-interesting,clt
2,boring-interesting,clt
0,boring-interesting,clt
1,boring-interesting,clt
1,boring-interesting,clt
1,boring-interesting,clt
-1,boring-interesting,clt
-2,boring-interesting,clt
-1,boring-interesting,clt
-1,boring-interesting,clt
0,boring-interesting,clt
