country_name,country_text_id,year,region,polyarchy,corruption,civil_liberties,prop_fem,quota
Australia,AUS,2020,5,84.3,0.032,0.923,0.31129999999999997,FALSE
Botswana,BWA,2020,4,58.599999999999994,0.096,0.875,0.10769999999999999,FALSE
Burundi,BDI,2020,4,16.8,0.891,0.174,0.3821,TRUE
Cape Verde,CPV,2020,4,79.4,0.262,0.92,0.2639,TRUE
Central African Republic,CAF,2020,4,37.7,0.826,0.496,0.0857,TRUE
Chile,CHL,2020,2,83.5,0.056,0.879,0.22579999999999997,TRUE
Costa Rica,CRI,2020,2,89.8,0.19,0.941,0.4561,TRUE
Timor-Leste,TLS,2020,6,67.7,0.298,0.815,0.3846,TRUE
Ecuador,ECU,2020,2,62.3,0.638,0.905,0.3942,TRUE
France,FRA,2020,5,86.6,0.058,0.915,0.3951,TRUE
Germany,DEU,2020,5,87.2,0.016,0.955,0.3145,FALSE
Guatemala,GTM,2020,2,58.699999999999996,0.757,0.737,0.1938,FALSE
Iran,IRN,2020,3,16.6,0.778,0.234,0.0559,FALSE
Iraq,IRQ,2020,3,37.1,0.874,0.405,0.2644,TRUE
Ireland,IRL,2020,5,89.3,0.032,0.958,0.225,TRUE
Italy,ITA,2020,5,86.6,0.181,0.91,0.35710000000000003,TRUE
Jordan,JOR,2020,3,25.7,0.496,0.648,0.11539999999999999,TRUE
Latvia,LVA,2020,1,82.69999999999999,0.1,0.948,0.29,FALSE
Lesotho,LSO,2020,4,63.5,0.477,0.808,0.23329999999999998,TRUE
Liberia,LBR,2020,4,63.4,0.86,0.849,0.1096,TRUE
Malawi,MWI,2020,4,53.900000000000006,0.654,0.867,0.22920000000000001,FALSE
